pickle_file,gen0_best_score,overall_best_score,difference,best_gen
1/1_gen_data.pkl,33.68847273363432,41.79104892896481,8.102576195330492,7
10/10_gen_data.pkl,33.21323771593648,49.815822084585854,16.602584368649374,13
2/2_gen_data.pkl,38.430858417596774,48.718823570738685,10.287965153141911,9
3/3_gen_data.pkl,33.463045642942824,42.04468266480802,8.581637021865198,15
4/4_gen_data.pkl,36.30970826816416,48.59872795334182,12.289019685177664,18
5/5_gen_data.pkl,35.27331404430078,44.296814596782355,9.023500552481572,19
6/6_gen_data.pkl,34.18273245527543,43.27334117276344,9.09060871748801,8
7/7_gen_data.pkl,34.39388232298939,42.532316781145305,8.138434458155913,10
8/8_gen_data.pkl,30.33518606821278,42.237068679181235,11.901882610968453,15
9/9_gen_data.pkl,37.727831263744655,41.87010405156634,4.142272787821682,12
