cycle,gen0_bp,gen_x,gen_x_bp,growth,gen0_mos,gen_x_mos,gen0_kid_id,gen_x_kid_id
Cycle_01,32.00377781232599,7,37.618117500327806,5.614339688001813,0.0736548962133653,0.07021872102938384,37,2
Cycle_02,37.43597421961326,3,45.058828766882684,7.6228545472694265,0.09133851316225848,0.0691851602971879,25,0
Cycle_03,34.806600146285014,19,43.965482161470696,9.158882015185682,0.057746166869771166,0.06712708457768862,17,11
Cycle_04,38.978453392431646,1,43.45033700158841,4.471883609156762,0.03718976601375882,0.08095329618750098,29,18
Cycle_05,33.24097483000366,15,42.39924819378348,9.15827336377982,3.690489561725536e-17,0.061196578267545314,39,6
Cycle_06,28.928453548942006,13,42.803270996995344,13.874817448053339,0.07092587960226546,0.05874741019610233,6,21
Cycle_07,34.2047482461275,18,41.556005146060684,7.351256899933183,0.056122410141315394,0.06503920402119284,39,26
Cycle_08,25.887978926053723,16,46.265280193544186,20.377301267490463,0.07968569558211258,0.06869962957032458,23,25
Cycle_09,28.872892370606795,16,38.47960270018632,9.606710329579524,0.06337545953698082,0.07679546542212622,27,17
Cycle_10,41.616383365522296,2,42.67933218072147,1.0629488151991708,0.08596089632015706,0.07949060099647566,13,23
